timestamp,user,action,cpu,memory
1786001894.6745577,Emma,Logout,51.77,34.68
1786001894.6746035,Bob,Purchase,70.16,34.12
1786001894.6746116,Charlie,Purchase,74.33,79.06
1786001894.674617,Emma,Login,35.27,78.2
1786001894.6746225,Bob,Logout,17.49,93.71
1786001894.674628,Alice,Purchase,34.28,62.04
1786001894.6746314,Charlie,View,52.99,32.32
1786001894.6746347,Charlie,Login,84.12,65.5
1786001894.6746376,Bob,View,58.07,28.06
1786001894.6746404,David,Purchase,75.51,71.79
1786001894.674643,Emma,View,20.3,55.5
1786001894.674646,David,Purchase,76.91,30.3
1786001894.6746488,Alice,Login,86.94,85.79
1786001894.6746514,Bob,View,40.18,45.34
1786001894.674654,Emma,View,32.97,29.68
1786001894.6746569,David,Purchase,14.28,52.5
1786001894.6746597,Alice,Login,58.71,74.56
1786001894.6746626,Charlie,Login,20.92,27.66
1786001894.674666,David,Search,20.93,91.92
1786001894.6746688,Charlie,Login,55.71,87.32
1786001894.6746714,Alice,Search,56.81,57.74
1786001894.6746793,Emma,Purchase,67.04,55.39
1786001894.6746871,David,View,50.19,91.3
1786001894.67469,David,View,84.3,75.83
1786001894.6746926,Bob,Search,86.66,52.64
1786001894.6746957,David,Login,89.17,34.04
1786001894.6746986,Emma,Login,10.08,45.75
1786001894.6747015,David,Logout,63.06,58.87
1786001894.6747043,Emma,Login,45.18,77.46
1786001894.6747072,Alice,View,21.51,47.76
1786001894.6747103,Emma,Logout,10.19,89.6
1786001894.6747143,Charlie,Search,26.41,29.33
1786001894.6747203,Emma,Login,68.4,29.3
1786001894.6747253,Alice,View,77.23,42.39
1786001894.6747308,David,Purchase,25.76,49.08
1786001894.6747339,Emma,Purchase,16.15,83.89
1786001894.674737,Bob,Logout,13.88,69.39
1786001894.6747396,Charlie,Search,48.13,34.37
1786001894.674745,David,View,37.28,39.99
1786001894.674749,David,Search,42.72,62.3
1786001894.674753,Alice,Logout,21.89,80.77
1786001894.6747575,Charlie,View,54.24,37.61
1786001894.6747613,Charlie,Logout,50.31,33.09
1786001894.6747658,Charlie,Search,86.37,78.76
1786001894.67477,David,Login,51.12,91.21
1786001894.6747751,Bob,Purchase,60.99,34.99
1786001894.67478,Alice,Search,81.03,82.58
1786001894.6747842,Bob,Purchase,69.49,61.6
1786001894.674787,Emma,View,46.38,62.39
1786001894.67479,Emma,Search,89.15,34.67
1786001894.6747928,Emma,Login,21.56,33.54
1786001894.674795,Bob,Search,71.18,74.46
1786001894.6747978,David,Login,39.75,39.25
1786001894.6748009,Bob,View,53.53,89.25
1786001894.6748068,Alice,View,88.19,24.36
1786001894.6748104,David,View,68.98,89.04
1786001894.674813,David,Login,87.84,82.05
1786001894.6748154,David,View,23.75,59.87
1786001894.674818,Alice,Logout,10.79,57.46
1786001894.6748235,Emma,View,37.95,46.54
1786001894.6748264,David,View,57.65,93.21
1786001894.6748319,Charlie,Logout,13.05,32.26
1786001894.6748347,Emma,Search,15.08,78.87
1786001894.6748369,Alice,Login,85.01,23.61
1786001894.6748421,Emma,Logout,54.81,50.31
1786001894.6748455,Alice,Logout,38.36,30.22
1786001894.674848,Emma,Logout,61.77,33.38
1786001894.6748505,Bob,Search,82.77,40.49
1786001894.674853,Charlie,Login,66.44,94.18
1786001894.6748557,Bob,Purchase,12.76,47.78
1786001894.6748605,Charlie,Purchase,24.58,73.88
1786001894.674863,Charlie,Search,26.47,42.85
1786001894.674866,David,Login,57.24,50.96
1786001894.6748817,Bob,Login,28.34,51.32
1786001894.6748867,Emma,Logout,68.42,71.25
1786001894.6748893,Emma,Search,24.44,91.24
1786001894.6748922,Alice,Search,18.45,86.45
1786001894.6748958,David,Search,85.99,28.97
1786001894.6749003,Alice,View,28.41,77.73
1786001894.6749053,Bob,Purchase,80.71,88.78
1786001894.6749094,Emma,Logout,30.06,85.05
1786001894.674913,Bob,Search,20.27,66.19
1786001894.6749177,David,View,48.96,51.23
